Meter Number,Node Id
Count,Outage.csv
SM10228911,400155
SM10228912,400081
SM10228913,400032
SM10228914,400087
SM10228915,400029
SM10228916,400224
SM10228917,400088
SM10228918,400006
SM10228919,400208
SM10228920,400101
SM10228921,400241
SM10228922,400293
SM10228923,400303
SM10228924,400136
SM10228925,400320
SM10228926,400203
SM10228927,400038
SM10228929,400227
SM10228930,400323
SM10228931,400670
SM10228932,400775
SM10228933,400704
SM10228934,400692
SM10228935,400697
SM10228936,400784
SM10228937,400765
SM10228938,400673
SM10228939,400812
SM10228940,400794
SM10228941,400660
SM10228942,400370
SM10228943,400347
SM10228944,400393
SM10228945,400342
SM10228946,400532
SM10228947,400602
SM10228948,400379
SM10228950,400384
SM10228951,400299
SM10228952,400257
SM10228953,400037
SM10228954,400135
SM10228955,400078
SM10228956,400096
SM10228957,400165
SM10228959,400218
SM10228960,400063
SM10228961,400742
SM10228962,400746
SM10228963,400699
SM10228964,400705
SM10228965,400901
SM10228966,400774
SM10228967,400739
SM10228968,400735
SM10228969,400813
SM10228970,400732
SM10228971,400106
SM10228972,400067
SM10228973,400289
SM10228974,400076
SM10228976,400028
SM10228977,400069
SM10228978,400094
SM10228979,400213
SM10228980,400116
SM10228981,400368
SM10228982,400343
SM10228983,400388
SM10228984,400594
SM10228986,400375
SM10228987,400631
SM10228988,400647
SM10228989,400637
SM10228990,400436
SM10228992,400558
SM10228993,400504
SM10228994,400567
SM10228995,400616
SM10228996,400550
SM10228997,400471
SM10228998,400486
SM10228999,400516
SM10229000,400474
SM10229001,400911
SM10229003,400861
SM10229004,400850
SM10229005,400839
SM10229006,400829
SM10229007,400849
SM10229008,400846
SM10229010,400876
SM10229012,400720
SM10229013,400675
SM10229014,400957
SM10229015,400706
SM10229016,400785
SM10229017,401000
SM10229018,400947
SM10229019,400818
SM10229020,400816
SM10229021,400126
SM10229022,400048
SM10229023,400010
SM10229024,400232
SM10229025,400194
SM10229026,400197
SM10229027,400053
SM10229028,400027
SM10229029,400188
SM10229030,400217
SM10229031,400752
