Meter Number,Node Id
alert,status
Count,Alarms.csv
IL0020247,600204
ISK1111111,8500002
ISKIE00028,8500008
ISKIE00030,8500004
ISKIJ020001,604373
ISKIJ020002,600304
ISKIJ020003,603746
ISKIJ020004,600295
ISKIJ020005,603914
ISKIJ020006,604335
ISKIJ020007,604178
ISKIJ020008,603853
ISKIJ020009,600324
ISKIJ020010,600256
ISKIJ020011,603856
ISKIJ020012,600300
ISKIJ020013,603922
ISKIJ020015,600225
ISKIJ020016,603881
ISKIJ020017,604330
ISKIJ020018,603816
ISKIJ020019,600317
ISKIJ020020,604220
ISKIJ020021,600341
ISKIJ020022,604218
ISKIJ020023,604380
ISKIJ020024,604231
ISKIJ020025,600471
ISKIJ020026,604228
ISKIJ020028,603785
ISKIJ020029,604257
ISKIJ020030,600237
ISKIJ020032,604146
ISKIJ020033,603851
ISKIJ020034,604331
ISKIJ020036,603904
ISKIJ020037,603710
ISKIJ020038,604286
ISKIJ020039,604224
ISKIJ020040,604292
ISKIJ020041,603730
ISKIJ020043,604180
ISKIJ020044,604223
ISKIJ020045,604176
ISKIJ020046,600210
ISKIJ020047,603852
ISKIJ020048,604349
ISKIJ020049,603830
ISKIJ020050,603742
ISKIJ020051,600298
ISKIJ020054,604389
ISKIJ020055,603729
ISKIJ020056,603903
ISKIJ020057,604276
ISKIJ020059,600320
ISKIJ020060,604135
ISKIJ020061,604306
ISKIJ020062,603949
ISKIJ020063,603832
ISKIJ020064,604309
ISKIJ020065,603899
ISKIJ020067,603727
ISKIJ020068,603792
ISKIJ020069,604311
ISKIJ020071,600321
ISKIJ020072,603831
ISKIJ020073,600245
ISKIJ020074,600222
ISKIJ020076,604126
ISKIJ020077,600352
ISKIJ020078,603820
ISKIJ020079,500010
ISKIJ020080,604383
ISKIJ020081,604138
ISKIJ020082,604289
ISKIJ020083,603773
ISKIJ020084,603896
ISKIJ020085,603929
ISKIJ020086,600282
ISKIJ020087,604217
ISKIJ020088,604234
ISKIJ020089,604157
ISKIJ020090,600223
ISKIJ020092,603974
ISKIJ020093,604328
ISKIJ020095,604334
ISKIJ020096,600314
ISKIJ020097,604109
ISKIJ020098,604077
ISKIJ020099,604132
ISKIJ020100,600241
